direction,entry_dt_sec,entry_abs_diff,exit_abs_diff,lots_abs_diff,live_pnl,bt_pnl,pnl_drift,pnl_abs_diff
LONG,1.0,0.18470823999996355,0.1546096000001853,0.010741323241880546,-3.5300000000000002,-9.33218056874187,-5.80218056874187,5.80218056874187
SHORT,1.0,0.18460960000084015,0.024765359999946668,0.010739827960980027,-5.66,-14.267705314949168,-8.607705314949168,8.607705314949168
LONG,1.0,0.024765359999946668,0.19467679999979737,0.010682140827597561,-3.2800000000000002,-8.437159725116553,-5.157159725116553,5.157159725116553
SHORT,0.0,0.19467679999979737,0.35481479999998555,0.010680632083323012,-4.75,-12.696856695825065,-7.9468566958250655,7.9468566958250655
LONG,0.0,0.35481479999998555,0.1848145600006319,0.0106294998923384,0.12,-0.8244153839101247,-0.9444153839101247,0.9444153839101247
SHORT,0.0,0.1848145600006319,0.2349002399996607,0.010627835913081344,-3.0,-8.1680347157005,-5.1680347157005,5.1680347157005
LONG,1.0,0.2349002399996607,0.194772799999555,0.01059573591738396,-4.47,-11.738896074726586,-7.2688960747265865,7.2688960747265865
SHORT,0.0,0.194772799999555,0.03483591999975033,0.010594131172801337,-2.37,-6.218621807019969,-3.8486218070199687,3.8486218070199687
LONG,0.0,0.03483591999975033,0.22475192000001698,0.010569945442118351,-3.08,-8.000860966112443,-4.920860966112443,4.920860966112443
SHORT,1.0,0.3147519200001625,0.06466144000114582,0.010568437413867223,3.19,6.953338472697327,3.763338472697327,3.763338472697327
